unicode	latex
02C8	\Elzverts{}
02CC	\Elzverti{}
02D0	\Elzlmrk{}
02D1	\Elzhlmrk{}
02D2	\Elzsbrhr{}
02D3	\Elzsblhr{}
02D4	\Elzrais{}
02D5	\Elzlow{}
02D8	\textasciibreve{}
02D9	\textperiodcentered{}
02DA	\r{}
02DB	\k{}
02DC	\texttildelow{}
02DD	\H{}
02E5	\tone{55}
02E6	\tone{44}
02E7	\tone{33}
02E8	\tone{22}
02E9	\tone{11}
0300	\`
0301	\'
0302	\^
0303	\~
0304	\=
0306	\u
0307	\.
0308	\"
030A	\r
030B	\H
030C	\v
030F	\cyrchar\C
0311	{\fontencoding{LECO}\selectfont\char177}
0318	{\fontencoding{LECO}\selectfont\char184}
0319	{\fontencoding{LECO}\selectfont\char185}
0321	\Elzpalh{}
0322	\Elzrh{}
0327	\c
0328	\k
032A	\Elzsbbrg{}
032B	{\fontencoding{LECO}\selectfont\char203}
032F	{\fontencoding{LECO}\selectfont\char207}
0335	\Elzxl{}
0336	\Elzbar{}
0337	{\fontencoding{LECO}\selectfont\char215}
0338	{\fontencoding{LECO}\selectfont\char216}
033A	{\fontencoding{LECO}\selectfont\char218}
033B	{\fontencoding{LECO}\selectfont\char219}
033C	{\fontencoding{LECO}\selectfont\char220}
033D	{\fontencoding{LECO}\selectfont\char221}
0361	{\fontencoding{LECO}\selectfont\char225}
0386	\'{A}
0388	\'{E}
0389	\'{H}
038A	\'{}{I}
038C	\'{}O
038E	\mathrm{'Y}
038F	\mathrm{'\Omega}
0390	\acute{\ddot{\iota}}
0391	\ensuremath{\Alpha}
0392	\ensuremath{\Beta}
0393	\ensuremath{\Gamma}
0394	\ensuremath{\Delta}
0395	\ensuremath{\Epsilon}
0396	\ensuremath{\Zeta}
0397	\ensuremath{\Eta}
0398	\ensuremath{\Theta}
0399	\ensuremath{\Iota}
039A	\ensuremath{\Kappa}
039B	\ensuremath{\Lambda}
039E	\ensuremath{\Xi}
03A0	\ensuremath{\Pi}
03A1	\ensuremath{\Rho}
03A3	\ensuremath{\Sigma}
03A4	\ensuremath{\Tau}
03A5	\ensuremath{\Upsilon}
03A6	\ensuremath{\Phi}
03A7	\ensuremath{\Chi}
03A8	\ensuremath{\Psi}
03A9	\ensuremath{\Omega}
03AA	\mathrm{\ddot{I}}
03AB	\mathrm{\ddot{Y}}
03AC	\'{$\alpha$}
03AD	\acute{\epsilon}
03AE	\acute{\eta}
03AF	\acute{\iota}
03B0	\acute{\ddot{\upsilon}}
03B1	\ensuremath{\alpha}
03B2	\ensuremath{\beta}
03B3	\ensuremath{\gamma}
03B4	\ensuremath{\delta}
03B5	\ensuremath{\epsilon}
03B6	\ensuremath{\zeta}
03B7	\ensuremath{\eta}
03B8	\texttheta{}
03B9	\ensuremath{\iota}
03BA	\ensuremath{\kappa}
03BB	\ensuremath{\lambda}
03BC	\ensuremath{\mu}
03BD	\ensuremath{\nu}
03BE	\ensuremath{\xi}
03C0	\ensuremath{\pi}
03C1	\ensuremath{\rho}
03C2	\ensuremath{\varsigma}
03C3	\ensuremath{\sigma}
03C4	\ensuremath{\tau}
03C5	\ensuremath{\upsilon}
03C6	\ensuremath{\varphi}
03C7	\ensuremath{\chi}
03C8	\ensuremath{\psi}
03C9	\ensuremath{\omega}
03CA	\ensuremath{\ddot{\iota}}
03CB	\ensuremath{\ddot{\upsilon}}
03CC	\'{o}
03CD	\acute{\upsilon}
03CE	\acute{\omega}
03D0	\Pisymbol{ppi022}{87}
03D1	\textvartheta{}
03D2	\ensuremath{\Upsilon}
03D5	\ensuremath{\phi}
03D6	\ensuremath{\varpi}
03DA	\Stigma{}
03DC	\Digamma{}
03DD	\digamma{}
03DE	\Koppa{}
03E0	\Sampi{}
03F0	\varkappa{}
03F1	\varrho{}
03F4	\textTheta{}
03F6	\backepsilon{}
0401	\cyrchar\CYRYO{}
0402	\cyrchar\CYRDJE{}
0403	\cyrchar{\'\CYRG}
0404	\cyrchar\CYRIE{}
0405	\cyrchar\CYRDZE{}
0406	\cyrchar\CYRII{}
0407	\cyrchar\CYRYI{}
0408	\cyrchar\CYRJE{}
0409	\cyrchar\CYRLJE{}
040A	\cyrchar\CYRNJE{}
040B	\cyrchar\CYRTSHE{}
040C	\cyrchar{\'\CYRK}
040E	\cyrchar\CYRUSHRT{}
040F	\cyrchar\CYRDZHE{}
0410	\cyrchar\CYRA{}
0411	\cyrchar\CYRB{}
0412	\cyrchar\CYRV{}
0413	\cyrchar\CYRG{}
0414	\cyrchar\CYRD{}
0415	\cyrchar\CYRE{}
0416	\cyrchar\CYRZH{}
0417	\cyrchar\CYRZ{}
0418	\cyrchar\CYRI{}
0419	\cyrchar\CYRISHRT{}
041A	\cyrchar\CYRK{}
041B	\cyrchar\CYRL{}
041C	\cyrchar\CYRM{}
041D	\cyrchar\CYRN{}
041E	\cyrchar\CYRO{}
041F	\cyrchar\CYRP{}
0420	\cyrchar\CYRR{}
0421	\cyrchar\CYRS{}
0422	\cyrchar\CYRT{}
0423	\cyrchar\CYRU{}
0424	\cyrchar\CYRF{}
0425	\cyrchar\CYRH{}
0426	\cyrchar\CYRC{}
0427	\cyrchar\CYRCH{}
0428	\cyrchar\CYRSH{}
0429	\cyrchar\CYRSHCH{}
042A	\cyrchar\CYRHRDSN{}
042B	\cyrchar\CYRERY{}
042C	\cyrchar\CYRSFTSN{}
042D	\cyrchar\CYREREV{}
042E	\cyrchar\CYRYU{}
042F	\cyrchar\CYRYA{}
0430	\cyrchar\cyra{}
0431	\cyrchar\cyrb{}
0432	\cyrchar\cyrv{}
0433	\cyrchar\cyrg{}
0434	\cyrchar\cyrd{}
0435	\cyrchar\cyre{}
0436	\cyrchar\cyrzh{}
0437	\cyrchar\cyrz{}
0438	\cyrchar\cyri{}
0439	\cyrchar\cyrishrt{}
043A	\cyrchar\cyrk{}
043B	\cyrchar\cyrl{}
043C	\cyrchar\cyrm{}
043D	\cyrchar\cyrn{}
043E	\cyrchar\cyro{}
043F	\cyrchar\cyrp{}
0440	\cyrchar\cyrr{}
0441	\cyrchar\cyrs{}
0442	\cyrchar\cyrt{}
0443	\cyrchar\cyru{}
0444	\cyrchar\cyrf{}
0445	\cyrchar\cyrh{}
0446	\cyrchar\cyrc{}
0447	\cyrchar\cyrch{}
0448	\cyrchar\cyrsh{}
0449	\cyrchar\cyrshch{}
044A	\cyrchar\cyrhrdsn{}
044B	\cyrchar\cyrery{}
044C	\cyrchar\cyrsftsn{}
044D	\cyrchar\cyrerev{}
044E	\cyrchar\cyryu{}
044F	\cyrchar\cyrya{}
0451	\cyrchar\cyryo{}
0452	\cyrchar\cyrdje{}
0453	\cyrchar{\'\cyrg}
0454	\cyrchar\cyrie{}
0455	\cyrchar\cyrdze{}
0456	\cyrchar\cyrii{}
0457	\cyrchar\cyryi{}
0458	\cyrchar\cyrje{}
0459	\cyrchar\cyrlje{}
045A	\cyrchar\cyrnje{}
045B	\cyrchar\cyrtshe{}
045C	\cyrchar{\'\cyrk}
045E	\cyrchar\cyrushrt{}
045F	\cyrchar\cyrdzhe{}
0460	\cyrchar\CYROMEGA{}
0461	\cyrchar\cyromega{}
0462	\cyrchar\CYRYAT{}
0464	\cyrchar\CYRIOTE{}
0465	\cyrchar\cyriote{}
0466	\cyrchar\CYRLYUS{}
0467	\cyrchar\cyrlyus{}
0468	\cyrchar\CYRIOTLYUS{}
0469	\cyrchar\cyriotlyus{}
046A	\cyrchar\CYRBYUS{}
046C	\cyrchar\CYRIOTBYUS{}
046D	\cyrchar\cyriotbyus{}
046E	\cyrchar\CYRKSI{}
046F	\cyrchar\cyrksi{}
0470	\cyrchar\CYRPSI{}
0471	\cyrchar\cyrpsi{}
0472	\cyrchar\CYRFITA{}
0474	\cyrchar\CYRIZH{}
0478	\cyrchar\CYRUK{}
0479	\cyrchar\cyruk{}
047A	\cyrchar\CYROMEGARND{}
047B	\cyrchar\cyromegarnd{}
047C	\cyrchar\CYROMEGATITLO{}
047D	\cyrchar\cyromegatitlo{}
047E	\cyrchar\CYROT{}
047F	\cyrchar\cyrot{}
0480	\cyrchar\CYRKOPPA{}
0481	\cyrchar\cyrkoppa{}
0482	\cyrchar\cyrthousands{}
0488	\cyrchar\cyrhundredthousands{}
0489	\cyrchar\cyrmillions{}
048C	\cyrchar\CYRSEMISFTSN{}
048D	\cyrchar\cyrsemisftsn{}
048E	\cyrchar\CYRRTICK{}
048F	\cyrchar\cyrrtick{}
0490	\cyrchar\CYRGUP{}
0491	\cyrchar\cyrgup{}
0492	\cyrchar\CYRGHCRS{}
0493	\cyrchar\cyrghcrs{}
0494	\cyrchar\CYRGHK{}
0495	\cyrchar\cyrghk{}
0496	\cyrchar\CYRZHDSC{}
0497	\cyrchar\cyrzhdsc{}
0498	\cyrchar\CYRZDSC{}
0499	\cyrchar\cyrzdsc{}
049A	\cyrchar\CYRKDSC{}
049B	\cyrchar\cyrkdsc{}
049C	\cyrchar\CYRKVCRS{}
049D	\cyrchar\cyrkvcrs{}
049E	\cyrchar\CYRKHCRS{}
049F	\cyrchar\cyrkhcrs{}
04A0	\cyrchar\CYRKBEAK{}
04A1	\cyrchar\cyrkbeak{}
04A2	\cyrchar\CYRNDSC{}
04A3	\cyrchar\cyrndsc{}
04A4	\cyrchar\CYRNG{}
04A5	\cyrchar\cyrng{}
04A6	\cyrchar\CYRPHK{}
04A7	\cyrchar\cyrphk{}
04A8	\cyrchar\CYRABHHA{}
04A9	\cyrchar\cyrabhha{}
04AA	\cyrchar\CYRSDSC{}
04AB	\cyrchar\cyrsdsc{}
04AC	\cyrchar\CYRTDSC{}
04AD	\cyrchar\cyrtdsc{}
04AE	\cyrchar\CYRY{}
04AF	\cyrchar\cyry{}
04B0	\cyrchar\CYRYHCRS{}
04B1	\cyrchar\cyryhcrs{}
04B2	\cyrchar\CYRHDSC{}
04B3	\cyrchar\cyrhdsc{}
04B4	\cyrchar\CYRTETSE{}
04B5	\cyrchar\cyrtetse{}
04B6	\cyrchar\CYRCHRDSC{}
04B7	\cyrchar\cyrchrdsc{}
04B8	\cyrchar\CYRCHVCRS{}
04B9	\cyrchar\cyrchvcrs{}
04BA	\cyrchar\CYRSHHA{}
04BB	\cyrchar\cyrshha{}
04BC	\cyrchar\CYRABHCH{}
04BD	\cyrchar\cyrabhch{}
04BE	\cyrchar\CYRABHCHDSC{}
04BF	\cyrchar\cyrabhchdsc{}
04C0	\cyrchar\CYRpalochka{}
04C3	\cyrchar\CYRKHK{}
04C4	\cyrchar\cyrkhk{}
04C7	\cyrchar\CYRNHK{}
04C8	\cyrchar\cyrnhk{}
04CB	\cyrchar\CYRCHLDSC{}
04CC	\cyrchar\cyrchldsc{}
04D4	\cyrchar\CYRAE{}
04D5	\cyrchar\cyrae{}
04D8	\cyrchar\CYRSCHWA{}
04D9	\cyrchar\cyrschwa{}
04E0	\cyrchar\CYRABHDZE{}
04E1	\cyrchar\cyrabhdze{}
04E8	\cyrchar\CYROTLD{}
04E9	\cyrchar\cyrotld{}
2002	\hspace{0.6em}
2003	\hspace{1em}
2004	\hspace{0.33em}
2005	\hspace{0.25em}
2006	\hspace{0.166em}
2007	\hphantom{0}
2008	\hphantom{,}
2009	\hspace{0.167em}
200A	\mkern1mu{}
2010	-
2014	--
2015	\rule{1em}{1pt}
2016	\Vert{}
2018	`
2019	'
201B	\Elzreapos{}
201C	``
201D	''
201E	,,
2020	\textdagger{}
2021	\textdaggerdbl{}
2022	\textbullet{}
2025	..
2026	\ldots{}
2030	\textperthousand{}
2031	\textpertenthousand{}
2032	\ensuremath{'}
2033	\ensuremath{''}
2034	\ensuremath{'''}
2035	\backprime{}
2039	\guilsinglleft{}
203A	\guilsinglright{}
2057	''''
205F	\mkern4mu{}
2060	\nolinebreak{}
20A7	\ensuremath{\Elzpes}
20AC	\mbox{\texteuro}{}
20DB	\dddot{}
20DC	\ddddot{}
2102	\mathbb{C}
210A	\mathscr{g}
210B	\mathscr{H}
210C	\mathfrak{H}
210D	\mathbb{H}
210F	\hslash{}
2110	\mathscr{I}
2111	\mathfrak{I}
2112	\mathscr{L}
2113	\mathscr{l}
2115	\mathbb{N}
2116	\cyrchar\textnumero{}
2118	\wp{}
2119	\mathbb{P}
211A	\mathbb{Q}
211B	\mathscr{R}
211C	\mathfrak{R}
211D	\mathbb{R}
211E	\Elzxrat{}
2122	\texttrademark{}
2124	\mathbb{Z}
2126	\Omega{}
2127	\mho{}
2128	\mathfrak{Z}
2129	\ElsevierGlyph{2129}
212B	\AA{}
212C	\mathscr{B}
212D	\mathfrak{C}
212F	\mathscr{e}
2130	\mathscr{E}
2131	\mathscr{F}
2133	\mathscr{M}
2134	\mathscr{o}
2135	\aleph{}
2136	\beth{}
2137	\gimel{}
2138	\daleth{}
2153	\textfrac{1}{3}
2154	\textfrac{2}{3}
2155	\textfrac{1}{5}
2156	\textfrac{2}{5}
2157	\textfrac{3}{5}
2158	\textfrac{4}{5}
2159	\textfrac{1}{6}
215A	\textfrac{5}{6}
215B	\textfrac{1}{8}
215C	\textfrac{3}{8}
215D	\textfrac{5}{8}
215E	\textfrac{7}{8}
2190	\leftarrow{}
2191	\uparrow{}
2192	\rightarrow{}
2193	\downarrow{}
2194	\leftrightarrow{}
2195	\updownarrow{}
2196	\nwarrow{}
2197	\nearrow{}
2198	\searrow{}
2199	\swarrow{}
219A	\nleftarrow{}
219B	\nrightarrow{}
219C	\arrowwaveright{}
219D	\arrowwaveright{}
219E	\twoheadleftarrow{}
21A0	\twoheadrightarrow{}
21A2	\leftarrowtail{}
21A3	\rightarrowtail{}
21A6	\mapsto{}
21A9	\hookleftarrow{}
21AA	\hookrightarrow{}
21AB	\looparrowleft{}
21AC	\looparrowright{}
21AD	\leftrightsquigarrow{}
21AE	\nleftrightarrow{}
21B0	\Lsh{}
21B1	\Rsh{}
21B3	\ElsevierGlyph{21B3}
21B6	\curvearrowleft{}
21B7	\curvearrowright{}
21BA	\circlearrowleft{}
21BB	\circlearrowright{}
21BC	\leftharpoonup{}
21BD	\leftharpoondown{}
21BE	\upharpoonright{}
21BF	\upharpoonleft{}
21C0	\rightharpoonup{}
21C1	\rightharpoondown{}
21C2	\downharpoonright{}
21C3	\downharpoonleft{}
21C4	\rightleftarrows{}
21C5	\dblarrowupdown{}
21C6	\leftrightarrows{}
21C7	\leftleftarrows{}
21C8	\upuparrows{}
21C9	\rightrightarrows{}
21CA	\downdownarrows{}
21CB	\leftrightharpoons{}
21CC	\rightleftharpoons{}
21CD	\nLeftarrow{}
21CE	\nLeftrightarrow{}
21CF	\nRightarrow{}
21D0	\Leftarrow{}
21D1	\Uparrow{}
21D2	\Rightarrow{}
21D3	\Downarrow{}
21D4	\Leftrightarrow{}
21D5	\Updownarrow{}
21DA	\Lleftarrow{}
21DB	\Rrightarrow{}
21DD	\rightsquigarrow{}
21F5	\DownArrowUpArrow{}
2200	\forall{}
2201	\complement{}
2202	\partial{}
2203	\exists{}
2204	\nexists{}
2205	\varnothing{}
2207	\nabla{}
2208	\in{}
2209	\not\in{}
220B	\ni{}
220C	\not\ni{}
220F	\prod{}
2210	\coprod{}
2211	\sum{}
2212    -
2213	\mp{}
2214	\dotplus{}
2216	\setminus{}
2217	{_\ast}
2218	\circ{}
2219	\bullet{}
221A	\surd{}
221D	\propto{}
221E	\infty{}
221F	\rightangle{}
2220	\angle{}
2221	\measuredangle{}
2222	\sphericalangle{}
2223	\mid{}
2224	\nmid{}
2225	\parallel{}
2226	\nparallel{}
2227	\wedge{}
2228	\vee{}
2229	\cap{}
222A	\cup{}
222B	\int{}
222C	\int\!\int{}
222D	\int\!\int\!\int{}
222E	\oint{}
222F	\surfintegral{}
2230	\volintegral{}
2231	\clwintegral{}
2232	\ElsevierGlyph{2232}
2233	\ElsevierGlyph{2233}
2234	\therefore{}
2235	\because{}
2237	\Colon{}
2238	\ElsevierGlyph{2238}
223A	\mathbin{{:}\!\!{-}\!\!{:}}
223B	\homothetic{}
223C	\sim{}
223D	\backsim{}
223E	\lazysinv{}
2240	\wr{}
2241	\not\sim{}
2242	\ElsevierGlyph{2242}
2243	\simeq{}
2244	\not\simeq{}
2245	\cong{}
2246	\approxnotequal{}
2247	\not\cong{}
2248	\approx{}
2249	\not\approx{}
224A	\approxeq{}
224B	\tildetrpl{}
224C	\allequal{}
224D	\asymp{}
224E	\Bumpeq{}
224F	\bumpeq{}
2250	\doteq{}
2251	\doteqdot{}
2252	\fallingdotseq{}
2253	\risingdotseq{}
2254	:=
2255	=:
2256	\eqcirc{}
2257	\circeq{}
2259	\estimates{}
225A	\ElsevierGlyph{225A}
225B	\starequal{}
225C	\triangleq{}
225F	\ElsevierGlyph{225F}
2260	\not =
2261	\equiv{}
2262	\not\equiv{}
2264	\leq{}
2265	\geq{}
2266	\leqq{}
2267	\geqq{}
2268	\lneqq{}
2269	\gneqq{}
226A	\ll{}
226B	\gg{}
226C	\between{}
226D	\not\kern-0.3em\times{}
226E	\not&lt;
226F	\not&gt;
2270	\not\leq{}
2271	\not\geq{}
2272	\lessequivlnt{}
2273	\greaterequivlnt{}
2274	\ElsevierGlyph{2274}
2275	\ElsevierGlyph{2275}
2276	\lessgtr{}
2277	\gtrless{}
2278	\notlessgreater{}
2279	\notgreaterless{}
227A	\prec{}
227B	\succ{}
227C	\preccurlyeq{}
227D	\succcurlyeq{}
227E	\precapprox{}
227F	\succapprox{}
2280	\not\prec{}
2281	\not\succ{}
2282	\subset{}
2283	\supset{}
2284	\not\subset{}
2285	\not\supset{}
2286	\subseteq{}
2287	\supseteq{}
2288	\not\subseteq{}
2289	\not\supseteq{}
228A	\subsetneq{}
228B	\supsetneq{}
228E	\uplus{}
228F	\sqsubset{}
2290	\sqsupset{}
2291	\sqsubseteq{}
2292	\sqsupseteq{}
2293	\sqcap{}
2294	\sqcup{}
2295	\oplus{}
2296	\ominus{}
2297	\otimes{}
2298	\oslash{}
2299	\odot{}
229A	\circledcirc{}
229B	\circledast{}
229D	\circleddash{}
229E	\boxplus{}
229F	\boxminus{}
22A0	\boxtimes{}
22A1	\boxdot{}
22A2	\vdash{}
22A3	\dashv{}
22A4	\top{}
22A5	\perp{}
22A7	\truestate{}
22A8	\forcesextra{}
22A9	\Vdash{}
22AA	\Vvdash{}
22AB	\VDash{}
22AC	\nvdash{}
22AD	\nvDash{}
22AE	\nVdash{}
22AF	\nVDash{}
22B2	\vartriangleleft{}
22B3	\vartriangleright{}
22B4	\trianglelefteq{}
22B5	\trianglerighteq{}
22B6	\original{}
22B7	\image{}
22B8	\multimap{}
22B9	\hermitconjmatrix{}
22BA	\intercal{}
22BB	\veebar{}
22BE	\rightanglearc{}
22C0	\ElsevierGlyph{22C0}
22C1	\ElsevierGlyph{22C1}
22C2	\bigcap{}
22C3	\bigcup{}
22C4	\diamond{}
22C5	\cdot{}
22C6	\star{}
22C7	\divideontimes{}
22C8	\bowtie{}
22C9	\ltimes{}
22CA	\rtimes{}
22CB	\leftthreetimes{}
22CC	\rightthreetimes{}
22CD	\backsimeq{}
22CE	\curlyvee{}
22CF	\curlywedge{}
22D0	\Subset{}
22D1	\Supset{}
22D2	\Cap{}
22D3	\Cup{}
22D4	\pitchfork{}
22D6	\lessdot{}
22D7	\gtrdot{}
22D8	\verymuchless{}
22D9	\verymuchgreater{}
22DA	\lesseqgtr{}
22DB	\gtreqless{}
22DE	\curlyeqprec{}
22DF	\curlyeqsucc{}
22E2	\not\sqsubseteq{}
22E3	\not\sqsupseteq{}
22E5	\Elzsqspne{}
22E6	\lnsim{}
22E7	\gnsim{}
22E8	\precedesnotsimilar{}
22E9	\succnsim{}
22EA	\ntriangleleft{}
22EB	\ntriangleright{}
22EC	\ntrianglelefteq{}
22ED	\ntrianglerighteq{}
22EE	\vdots{}
22EF	\cdots{}
22F0	\upslopeellipsis{}
22F1	\downslopeellipsis{}
2305	\barwedge{}
2306	\perspcorrespond{}
2308	\lceil{}
2309	\rceil{}
230A	\lfloor{}
230B	\rfloor{}
2315	\recorder{}
2316	\mathchar"2208
231C	\ulcorner{}
231D	\urcorner{}
231E	\llcorner{}
231F	\lrcorner{}
2322	\frown{}
2323	\smile{}
2329	\langle{}
232A	\rangle{}
233D	\ElsevierGlyph{E838}
23A3	\Elzdlcorn{}
23B0	\lmoustache{}
23B1	\rmoustache{}
2423	\textvisiblespace{}
2460	\ding{172}
2461	\ding{173}
2462	\ding{174}
2463	\ding{175}
2464	\ding{176}
2465	\ding{177}
2466	\ding{178}
2467	\ding{179}
2468	\ding{180}
2469	\ding{181}
24C8	\circledS{}
2506	\Elzdshfnc{}
2519	\Elzsqfnw{}
2571	\diagup{}
25A0	\ding{110}
25A1	\square{}
25AA	\blacksquare{}
25AD	\fbox{~~}
25AF	\Elzvrecto{}
25B1	\ElsevierGlyph{E381}
25B2	\ding{115}
25B3	\bigtriangleup{}
25B4	\blacktriangle{}
25B5	\vartriangle{}
25B8	\blacktriangleright{}
25B9	\triangleright{}
25BC	\ding{116}
25BD	\bigtriangledown{}
25BE	\blacktriangledown{}
25BF	\triangledown{}
25C2	\blacktriangleleft{}
25C3	\triangleleft{}
25C6	\ding{117}
25CA	\lozenge{}
25CB	\bigcirc{}
25CF	\ding{108}
25D0	\Elzcirfl{}
25D1	\Elzcirfr{}
25D2	\Elzcirfb{}
25D7	\ding{119}
25D8	\Elzrvbull{}
25E7	\Elzsqfl{}
25E8	\Elzsqfr{}
25EA	\Elzsqfse{}
25EF	\bigcirc{}
2605	\ding{72}
2606	\ding{73}
260E	\ding{37}
261B	\ding{42}
261E	\ding{43}
263E	\rightmoon{}
263F	\mercury{}
2640	\venus{}
2642	\male{}
2643	\jupiter{}
2644	\saturn{}
2645	\uranus{}
2646	\neptune{}
